2019-06-23 00:57:39.563411	https://www.encodeproject.org/report/?type=File&lab.title=ENCODE+Processing+Pipeline&status=released&assembly=GRCh38&field=%40id&field=accession&field=dataset&field=assembly&field=output_type&field=technical_replicates&field=biological_replicates&field=href&file_format=bed&output_type%21=peaks&output_type%21=conservative+idr+thresholded+peaks&output_type%21=replicated+peaks&output_type%21=sequence+alignability&output_type%21=methylation+state+at+CpG&output_type%21=methylation+state+at+CHH&output_type%21=methylation+state+at+CHG&output_type%21=enrichment&output_type%21=hotspots&output_type%21=pseudoreplicated+idr+thresholded+peaks&output_type%21=stable+peaks&output_type%21=transcription+start+sites&limit=all
ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL
/files/ENCFF010AIG/	ENCFF010AIG	/experiments/ENCSR107GRP/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF010AIG/@@download/ENCFF010AIG.bed.gz
/files/ENCFF010FVB/	ENCFF010FVB	/experiments/ENCSR000EVW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF010FVB/@@download/ENCFF010FVB.bed.gz
/files/ENCFF010OOE/	ENCFF010OOE	/experiments/ENCSR091JXL/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF010OOE/@@download/ENCFF010OOE.bed.gz
/files/ENCFF010SNL/	ENCFF010SNL	/experiments/ENCSR360JOC/	GRCh38	peaks and background as input for IDR	1_1,3_1	1,3	/files/ENCFF010SNL/@@download/ENCFF010SNL.bed.gz
/files/ENCFF010YGU/	ENCFF010YGU	/experiments/ENCSR851XLW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF010YGU/@@download/ENCFF010YGU.bed.gz
/files/ENCFF011NRT/	ENCFF011NRT	/experiments/ENCSR196HOM/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF011NRT/@@download/ENCFF011NRT.bed.gz
/files/ENCFF013EHI/	ENCFF013EHI	/experiments/ENCSR171CAY/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF013EHI/@@download/ENCFF013EHI.bed.gz
/files/ENCFF013JUX/	ENCFF013JUX	/experiments/ENCSR872ZHM/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF013JUX/@@download/ENCFF013JUX.bed.gz
/files/ENCFF013PIW/	ENCFF013PIW	/experiments/ENCSR283MWQ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF013PIW/@@download/ENCFF013PIW.bed.gz
/files/ENCFF014KUI/	ENCFF014KUI	/experiments/ENCSR389PWB/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014KUI/@@download/ENCFF014KUI.bed.gz
/files/ENCFF014OBO/	ENCFF014OBO	/experiments/ENCSR000DPC/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF014OBO/@@download/ENCFF014OBO.bed.gz
/files/ENCFF014OJI/	ENCFF014OJI	/experiments/ENCSR000DOZ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014OJI/@@download/ENCFF014OJI.bed.gz
/files/ENCFF014RWM/	ENCFF014RWM	/experiments/ENCSR686EYO/	GRCh38	peaks and background as input for IDR	3_1,4_1	3,4	/files/ENCFF014RWM/@@download/ENCFF014RWM.bed.gz
/files/ENCFF014UTU/	ENCFF014UTU	/experiments/ENCSR759BDG/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014UTU/@@download/ENCFF014UTU.bed.gz
/files/ENCFF014WCO/	ENCFF014WCO	/experiments/ENCSR213HBY/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014WCO/@@download/ENCFF014WCO.bed.gz
/files/ENCFF016AAA/	ENCFF016AAA	/experiments/ENCSR000DZW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF016AAA/@@download/ENCFF016AAA.bed.gz
/files/ENCFF017JQJ/	ENCFF017JQJ	/experiments/ENCSR845BCL/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF017JQJ/@@download/ENCFF017JQJ.bed.gz
/files/ENCFF018NNF/	ENCFF018NNF	/experiments/ENCSR441VHN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF018NNF/@@download/ENCFF018NNF.bed.gz
/files/ENCFF020JUH/	ENCFF020JUH	/experiments/ENCSR000BNM/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF020JUH/@@download/ENCFF020JUH.bed.gz
/files/ENCFF020PTC/	ENCFF020PTC	/experiments/ENCSR000EHJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF020PTC/@@download/ENCFF020PTC.bed.gz
/files/ENCFF020TLE/	ENCFF020TLE	/experiments/ENCSR811JJM/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF020TLE/@@download/ENCFF020TLE.bed.gz
/files/ENCFF020TYZ/	ENCFF020TYZ	/experiments/ENCSR000EGE/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF020TYZ/@@download/ENCFF020TYZ.bed.gz
/files/ENCFF020UCD/	ENCFF020UCD	/experiments/ENCSR502NRF/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF020UCD/@@download/ENCFF020UCD.bed.gz
/files/ENCFF021HUZ/	ENCFF021HUZ	/experiments/ENCSR000BIK/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF021HUZ/@@download/ENCFF021HUZ.bed.gz
/files/ENCFF021SKX/	ENCFF021SKX	/experiments/ENCSR768LIO/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF021SKX/@@download/ENCFF021SKX.bed.gz
/files/ENCFF021XJN/	ENCFF021XJN	/experiments/ENCSR077DKV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF021XJN/@@download/ENCFF021XJN.bed.gz
/files/ENCFF022FYX/	ENCFF022FYX	/experiments/ENCSR017CEO/	GRCh38	peaks and background as input for IDR	2_1,3_1	2,3	/files/ENCFF022FYX/@@download/ENCFF022FYX.bed.gz
/files/ENCFF022VXY/	ENCFF022VXY	/experiments/ENCSR656JZL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF022VXY/@@download/ENCFF022VXY.bed.gz
/files/ENCFF023ALY/	ENCFF023ALY	/experiments/ENCSR199WXF/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023ALY/@@download/ENCFF023ALY.bed.gz
/files/ENCFF023BIN/	ENCFF023BIN	/experiments/ENCSR776MDR/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023BIN/@@download/ENCFF023BIN.bed.gz
/files/ENCFF023HXN/	ENCFF023HXN	/experiments/ENCSR000EXX/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF023HXN/@@download/ENCFF023HXN.bed.gz
/files/ENCFF023RJC/	ENCFF023RJC	/experiments/ENCSR000DRZ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023RJC/@@download/ENCFF023RJC.bed.gz
/files/ENCFF023XHV/	ENCFF023XHV	/experiments/ENCSR742IDN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023XHV/@@download/ENCFF023XHV.bed.gz
/files/ENCFF023XYC/	ENCFF023XYC	/experiments/ENCSR000EZW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF023XYC/@@download/ENCFF023XYC.bed.gz
/files/ENCFF023YOW/	ENCFF023YOW	/experiments/ENCSR000ECE/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF023YOW/@@download/ENCFF023YOW.bed.gz
/files/ENCFF023ZUW/	ENCFF023ZUW	/experiments/ENCSR000BMW/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023ZUW/@@download/ENCFF023ZUW.bed.gz
/files/ENCFF024AEU/	ENCFF024AEU	/experiments/ENCSR000BIL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF024AEU/@@download/ENCFF024AEU.bed.gz
/files/ENCFF024KFH/	ENCFF024KFH	/experiments/ENCSR435OQD/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF024KFH/@@download/ENCFF024KFH.bed.gz
/files/ENCFF024QKK/	ENCFF024QKK	/experiments/ENCSR808FFI/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF024QKK/@@download/ENCFF024QKK.bed.gz
/files/ENCFF024TJO/	ENCFF024TJO	/experiments/ENCSR000BMH/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF024TJO/@@download/ENCFF024TJO.bed.gz
/files/ENCFF025SMR/	ENCFF025SMR	/experiments/ENCSR934JDG/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF025SMR/@@download/ENCFF025SMR.bed.gz
/files/ENCFF027UTC/	ENCFF027UTC	/experiments/ENCSR586DEH/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF027UTC/@@download/ENCFF027UTC.bed.gz
/files/ENCFF028IIR/	ENCFF028IIR	/experiments/ENCSR000DNC/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF028IIR/@@download/ENCFF028IIR.bed.gz
/files/ENCFF029DNH/	ENCFF029DNH	/experiments/ENCSR497IAS/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF029DNH/@@download/ENCFF029DNH.bed.gz
/files/ENCFF029UJC/	ENCFF029UJC	/experiments/ENCSR029LBT/	GRCh38	optimal idr thresholded peaks	3_1,4_1	3,4	/files/ENCFF029UJC/@@download/ENCFF029UJC.bed.gz
/files/ENCFF031LBW/	ENCFF031LBW	/experiments/ENCSR313VZG/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF031LBW/@@download/ENCFF031LBW.bed.gz
/files/ENCFF031NWJ/	ENCFF031NWJ	/experiments/ENCSR475SOC/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF031NWJ/@@download/ENCFF031NWJ.bed.gz
/files/ENCFF031WEU/	ENCFF031WEU	/experiments/ENCSR506KWJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF031WEU/@@download/ENCFF031WEU.bed.gz
/files/ENCFF032BJW/	ENCFF032BJW	/experiments/ENCSR000DVQ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032BJW/@@download/ENCFF032BJW.bed.gz
/files/ENCFF032CZR/	ENCFF032CZR	/experiments/ENCSR210MET/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032CZR/@@download/ENCFF032CZR.bed.gz
/files/ENCFF032IPA/	ENCFF032IPA	/experiments/ENCSR854ORP/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032IPA/@@download/ENCFF032IPA.bed.gz
/files/ENCFF032OFJ/	ENCFF032OFJ	/experiments/ENCSR807LQP/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF032OFJ/@@download/ENCFF032OFJ.bed.gz
/files/ENCFF032UMW/	ENCFF032UMW	/experiments/ENCSR000EZX/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032UMW/@@download/ENCFF032UMW.bed.gz
/files/ENCFF033PLJ/	ENCFF033PLJ	/experiments/ENCSR000BIB/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF033PLJ/@@download/ENCFF033PLJ.bed.gz
/files/ENCFF034KUO/	ENCFF034KUO	/experiments/ENCSR868JLS/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF034KUO/@@download/ENCFF034KUO.bed.gz
/files/ENCFF034OSV/	ENCFF034OSV	/experiments/ENCSR785OKZ/	GRCh38	optimal idr thresholded peaks	3_1,4_1	3,4	/files/ENCFF034OSV/@@download/ENCFF034OSV.bed.gz
/files/ENCFF035GFS/	ENCFF035GFS	/experiments/ENCSR439WAF/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF035GFS/@@download/ENCFF035GFS.bed.gz
/files/ENCFF035KRS/	ENCFF035KRS	/experiments/ENCSR381VYR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF035KRS/@@download/ENCFF035KRS.bed.gz
/files/ENCFF035VLB/	ENCFF035VLB	/experiments/ENCSR542WJU/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF035VLB/@@download/ENCFF035VLB.bed.gz
/files/ENCFF035YWE/	ENCFF035YWE	/experiments/ENCSR000EDW/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF035YWE/@@download/ENCFF035YWE.bed.gz
/files/ENCFF035ZFO/	ENCFF035ZFO	/experiments/ENCSR754MUD/	GRCh38	optimal idr thresholded peaks	2_1,3_1	2,3	/files/ENCFF035ZFO/@@download/ENCFF035ZFO.bed.gz
/files/ENCFF036AEX/	ENCFF036AEX	/experiments/ENCSR289NSN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF036AEX/@@download/ENCFF036AEX.bed.gz
/files/ENCFF036WLT/	ENCFF036WLT	/experiments/ENCSR632SHZ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF036WLT/@@download/ENCFF036WLT.bed.gz
/files/ENCFF038IVP/	ENCFF038IVP	/experiments/ENCSR000BJW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF038IVP/@@download/ENCFF038IVP.bed.gz
/files/ENCFF038QYZ/	ENCFF038QYZ	/experiments/ENCSR000EHO/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF038QYZ/@@download/ENCFF038QYZ.bed.gz
/files/ENCFF039CUI/	ENCFF039CUI	/experiments/ENCSR315JJE/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF039CUI/@@download/ENCFF039CUI.bed.gz
/files/ENCFF039LHY/	ENCFF039LHY	/experiments/ENCSR247XFV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF039LHY/@@download/ENCFF039LHY.bed.gz
/files/ENCFF039UZO/	ENCFF039UZO	/experiments/ENCSR000DYQ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF039UZO/@@download/ENCFF039UZO.bed.gz
/files/ENCFF039XQE/	ENCFF039XQE	/experiments/ENCSR086FZL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF039XQE/@@download/ENCFF039XQE.bed.gz
/files/ENCFF039YAY/	ENCFF039YAY	/experiments/ENCSR711VWL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF039YAY/@@download/ENCFF039YAY.bed.gz
/files/ENCFF040QBG/	ENCFF040QBG	/experiments/ENCSR363XBR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF040QBG/@@download/ENCFF040QBG.bed.gz
/files/ENCFF040TDG/	ENCFF040TDG	/experiments/ENCSR000EEI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF040TDG/@@download/ENCFF040TDG.bed.gz
/files/ENCFF040XAI/	ENCFF040XAI	/experiments/ENCSR000DZI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF040XAI/@@download/ENCFF040XAI.bed.gz
/files/ENCFF041BSX/	ENCFF041BSX	/experiments/ENCSR459FTB/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041BSX/@@download/ENCFF041BSX.bed.gz
/files/ENCFF041RZO/	ENCFF041RZO	/experiments/ENCSR494UQJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041RZO/@@download/ENCFF041RZO.bed.gz
/files/ENCFF041SZY/	ENCFF041SZY	/experiments/ENCSR000BIJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041SZY/@@download/ENCFF041SZY.bed.gz
/files/ENCFF041UZM/	ENCFF041UZM	/experiments/ENCSR000BHJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041UZM/@@download/ENCFF041UZM.bed.gz
/files/ENCFF041VJQ/	ENCFF041VJQ	/experiments/ENCSR754SOI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041VJQ/@@download/ENCFF041VJQ.bed.gz
/files/ENCFF042AWM/	ENCFF042AWM	/experiments/ENCSR234VCE/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF042AWM/@@download/ENCFF042AWM.bed.gz
/files/ENCFF042CMN/	ENCFF042CMN	/experiments/ENCSR889GGV/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF042CMN/@@download/ENCFF042CMN.bed.gz
