ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL	linecount
/files/ENCFF013EHI/	ENCFF013EHI	/experiments/ENCSR171CAY/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF013EHI/@@download/ENCFF013EHI.bed.gz	3104
/files/ENCFF013JUX/	ENCFF013JUX	/experiments/ENCSR872ZHM/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF013JUX/@@download/ENCFF013JUX.bed.gz	300000
/files/ENCFF013PIW/	ENCFF013PIW	/experiments/ENCSR283MWQ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF013PIW/@@download/ENCFF013PIW.bed.gz	300000
/files/ENCFF014KUI/	ENCFF014KUI	/experiments/ENCSR389PWB/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014KUI/@@download/ENCFF014KUI.bed.gz	4113
/files/ENCFF014OBO/	ENCFF014OBO	/experiments/ENCSR000DPC/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF014OBO/@@download/ENCFF014OBO.bed.gz	300000
/files/ENCFF014OJI/	ENCFF014OJI	/experiments/ENCSR000DOZ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014OJI/@@download/ENCFF014OJI.bed.gz	14906
/files/ENCFF014RWM/	ENCFF014RWM	/experiments/ENCSR686EYO/	GRCh38	peaks and background as input for IDR	3_1,4_1	3,4	/files/ENCFF014RWM/@@download/ENCFF014RWM.bed.gz	300000
/files/ENCFF014UTU/	ENCFF014UTU	/experiments/ENCSR759BDG/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014UTU/@@download/ENCFF014UTU.bed.gz	40917
/files/ENCFF014WCO/	ENCFF014WCO	/experiments/ENCSR213HBY/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF014WCO/@@download/ENCFF014WCO.bed.gz	19975
/files/ENCFF016AAA/	ENCFF016AAA	/experiments/ENCSR000DZW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF016AAA/@@download/ENCFF016AAA.bed.gz	300000
/files/ENCFF017JQJ/	ENCFF017JQJ	/experiments/ENCSR845BCL/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF017JQJ/@@download/ENCFF017JQJ.bed.gz	27008
/files/ENCFF018NNF/	ENCFF018NNF	/experiments/ENCSR441VHN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF018NNF/@@download/ENCFF018NNF.bed.gz	68728
/files/ENCFF020JUH/	ENCFF020JUH	/experiments/ENCSR000BNM/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF020JUH/@@download/ENCFF020JUH.bed.gz	300000
/files/ENCFF020PTC/	ENCFF020PTC	/experiments/ENCSR000EHJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF020PTC/@@download/ENCFF020PTC.bed.gz	300000
/files/ENCFF020TLE/	ENCFF020TLE	/experiments/ENCSR811JJM/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF020TLE/@@download/ENCFF020TLE.bed.gz	2065
/files/ENCFF020TYZ/	ENCFF020TYZ	/experiments/ENCSR000EGE/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF020TYZ/@@download/ENCFF020TYZ.bed.gz	197195
/files/ENCFF020UCD/	ENCFF020UCD	/experiments/ENCSR502NRF/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF020UCD/@@download/ENCFF020UCD.bed.gz	21431
/files/ENCFF021HUZ/	ENCFF021HUZ	/experiments/ENCSR000BIK/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF021HUZ/@@download/ENCFF021HUZ.bed.gz	25792
/files/ENCFF021SKX/	ENCFF021SKX	/experiments/ENCSR768LIO/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF021SKX/@@download/ENCFF021SKX.bed.gz	300000
/files/ENCFF021XJN/	ENCFF021XJN	/experiments/ENCSR077DKV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF021XJN/@@download/ENCFF021XJN.bed.gz	39096
/files/ENCFF022FYX/	ENCFF022FYX	/experiments/ENCSR017CEO/	GRCh38	peaks and background as input for IDR	2_1,3_1	2,3	/files/ENCFF022FYX/@@download/ENCFF022FYX.bed.gz	300000
/files/ENCFF022VXY/	ENCFF022VXY	/experiments/ENCSR656JZL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF022VXY/@@download/ENCFF022VXY.bed.gz	300000
/files/ENCFF023ALY/	ENCFF023ALY	/experiments/ENCSR199WXF/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023ALY/@@download/ENCFF023ALY.bed.gz	38781
